ERROR @ 2011-11-11 20:24:35,684 [main] (DescriptionScanner.java:96) - Error : Index directory is missing!
 INFO @ 2011-11-15 16:54:46,327 [main] (IndexScanner.java:32) - max doc = 385
 WARN @ 2011-11-15 17:04:02,470 [main] (IndexScanner.java:34) - max doc = 385
 INFO @ 2011-11-15 17:04:02,489 [main] (IndexScanner.java:45) - 0 OK
 INFO @ 2011-11-15 17:04:02,490 [main] (IndexScanner.java:45) - 1 OK
 INFO @ 2011-11-15 17:04:02,490 [main] (IndexScanner.java:45) - 2 OK
 INFO @ 2011-11-15 17:04:02,491 [main] (IndexScanner.java:45) - 3 OK
 INFO @ 2011-11-15 17:04:02,491 [main] (IndexScanner.java:45) - 4 OK
 INFO @ 2011-11-15 17:04:02,493 [main] (IndexScanner.java:45) - 5 OK
 INFO @ 2011-11-15 17:04:02,494 [main] (IndexScanner.java:45) - 6 OK
 INFO @ 2011-11-15 17:04:02,494 [main] (IndexScanner.java:45) - 7 OK
 INFO @ 2011-11-15 17:04:02,495 [main] (IndexScanner.java:45) - 8 OK
 INFO @ 2011-11-15 17:04:02,495 [main] (IndexScanner.java:45) - 9 OK
 INFO @ 2011-11-15 17:04:02,496 [main] (IndexScanner.java:45) - 10 OK
 INFO @ 2011-11-15 17:04:02,496 [main] (IndexScanner.java:45) - 11 OK
 INFO @ 2011-11-15 17:04:02,497 [main] (IndexScanner.java:45) - 12 OK
 INFO @ 2011-11-15 17:04:02,497 [main] (IndexScanner.java:45) - 13 OK
 INFO @ 2011-11-15 17:04:02,498 [main] (IndexScanner.java:45) - 14 OK
 INFO @ 2011-11-15 17:04:02,506 [main] (IndexScanner.java:45) - 15 OK
 INFO @ 2011-11-15 17:04:02,506 [main] (IndexScanner.java:45) - 16 OK
 INFO @ 2011-11-15 17:04:02,507 [main] (IndexScanner.java:45) - 17 OK
 INFO @ 2011-11-15 17:04:02,507 [main] (IndexScanner.java:45) - 18 OK
 INFO @ 2011-11-15 17:04:02,508 [main] (IndexScanner.java:45) - 19 OK
 INFO @ 2011-11-15 17:04:02,508 [main] (IndexScanner.java:45) - 20 OK
 INFO @ 2011-11-15 17:04:02,509 [main] (IndexScanner.java:45) - 21 OK
 INFO @ 2011-11-15 17:04:02,509 [main] (IndexScanner.java:45) - 22 OK
 INFO @ 2011-11-15 17:04:02,509 [main] (IndexScanner.java:45) - 23 OK
 INFO @ 2011-11-15 17:04:02,510 [main] (IndexScanner.java:45) - 24 OK
 INFO @ 2011-11-15 17:04:02,510 [main] (IndexScanner.java:45) - 25 OK
 INFO @ 2011-11-15 17:04:02,511 [main] (IndexScanner.java:45) - 26 OK
 INFO @ 2011-11-15 17:04:02,511 [main] (IndexScanner.java:45) - 27 OK
 INFO @ 2011-11-15 17:04:02,512 [main] (IndexScanner.java:45) - 28 OK
 INFO @ 2011-11-15 17:04:02,512 [main] (IndexScanner.java:45) - 29 OK
 INFO @ 2011-11-15 17:04:02,513 [main] (IndexScanner.java:45) - 30 OK
 INFO @ 2011-11-15 17:04:02,513 [main] (IndexScanner.java:45) - 31 OK
 INFO @ 2011-11-15 17:04:02,513 [main] (IndexScanner.java:45) - 32 OK
 INFO @ 2011-11-15 17:04:02,514 [main] (IndexScanner.java:45) - 33 OK
 INFO @ 2011-11-15 17:04:02,515 [main] (IndexScanner.java:45) - 34 OK
 INFO @ 2011-11-15 17:04:02,515 [main] (IndexScanner.java:45) - 35 OK
 INFO @ 2011-11-15 17:04:02,515 [main] (IndexScanner.java:45) - 36 OK
 INFO @ 2011-11-15 17:04:02,516 [main] (IndexScanner.java:45) - 37 OK
 INFO @ 2011-11-15 17:04:02,517 [main] (IndexScanner.java:45) - 38 OK
 INFO @ 2011-11-15 17:04:02,517 [main] (IndexScanner.java:45) - 39 OK
 INFO @ 2011-11-15 17:04:02,518 [main] (IndexScanner.java:45) - 40 OK
 INFO @ 2011-11-15 17:04:02,518 [main] (IndexScanner.java:45) - 41 OK
 INFO @ 2011-11-15 17:04:02,518 [main] (IndexScanner.java:45) - 42 OK
 INFO @ 2011-11-15 17:04:02,519 [main] (IndexScanner.java:45) - 43 OK
 INFO @ 2011-11-15 17:04:02,519 [main] (IndexScanner.java:45) - 44 OK
 INFO @ 2011-11-15 17:04:02,519 [main] (IndexScanner.java:45) - 45 OK
 INFO @ 2011-11-15 17:04:02,520 [main] (IndexScanner.java:45) - 46 OK
 INFO @ 2011-11-15 17:04:02,520 [main] (IndexScanner.java:45) - 47 OK
 INFO @ 2011-11-15 17:04:02,521 [main] (IndexScanner.java:45) - 48 OK
 INFO @ 2011-11-15 17:04:02,521 [main] (IndexScanner.java:45) - 49 OK
 INFO @ 2011-11-15 17:04:02,521 [main] (IndexScanner.java:45) - 50 OK
 INFO @ 2011-11-15 17:04:02,522 [main] (IndexScanner.java:45) - 51 OK
 INFO @ 2011-11-15 17:04:02,522 [main] (IndexScanner.java:45) - 52 OK
 INFO @ 2011-11-15 17:04:02,522 [main] (IndexScanner.java:45) - 53 OK
 INFO @ 2011-11-15 17:04:02,523 [main] (IndexScanner.java:45) - 54 OK
